Id,Prediction
1,27.9191
2,23.1947
3,28.6825
4,24.3817
5,26.9537
6,23.5604
7,12.5296
8,6.1442
9,27.202
10,19.4418
11,15.2836
12,21.474
13,29.0123
14,20.9458
15,31.1261
16,41.396
17,26.7498
18,23.1972
19,22.6278
20,27.3711
21,22.9062
22,9.8597
23,17.4241
24,27.7473
25,33.217
26,35.7416
27,21.9533
28,34.485
29,22.0591
30,25.4965
31,16.2535
32,7.1625
33,61.34
34,30.3023
35,25.1045
36,16.2876
37,23.6592
38,20.9764
39,22.9731
40,24.042
41,23.3019
42,17.6776
43,12.0972
44,25.4629
45,17.6279
46,12.4162
47,17.8777
48,59.9161
49,31.8835
50,23.1845
51,21.6221
52,11.1935
53,16.0032
54,13.6315
55,20.3591
56,28.2462
57,24.4198
58,27.9031
59,36.9152
60,7.6992
61,23.5656
62,11.5812
63,19.4349
64,18.9116
65,30.6122
66,24.1403
67,53.7207
68,16.4015
69,16.8363
70,20.8727
71,30.3805
72,17.4071
73,19.4361
74,18.7656
75,16.7964
76,22.4008
77,31.7021
78,28.0361
79,26.3794
80,33.4139
81,20.9035
82,10.5891
83,32.0969
84,25.4682
85,10.2654
86,17.9956
87,28.7033
88,23.6777
89,26.3021
90,31.6771
91,21.9916
92,27.6824
93,23.8481
94,25.1953
95,27.967
96,23.4966
97,26.2586
98,19.8599
99,18.5196
100,34.2588
101,37.3892
102,19.4898
103,5.9031
104,12.4039
105,31.0041
106,24.2716
107,22.717
108,24.7525
109,22.7675
110,37.3541
111,34.7757
112,27.4147
113,20.8377
114,24.9262
115,19.8113
116,13.309
117,20.8862
118,17.6494
119,21.3618
120,8.7366
121,13.1645
122,30.2436
123,7.1263
124,17.3823
125,38.4458
126,30.4515
127,11.0889
128,25.3572
129,21.6197
130,15.7572
131,27.0653
132,21.9873
133,23.4072
134,15.0856
135,14.5587
136,7.3765
137,44.1131
138,20.1011
139,17.5272
140,16.2532
141,16.9622
142,56.2105
143,21.2451
144,29.9852
145,9.7819
146,28.906
147,11.6478
148,17.9314
149,23.3267
150,23.248
151,15.1702
152,24.0239
153,3.8474
154,7.8936
155,28.8295
156,28.502
157,16.159
158,28.578
159,38.0184
160,29.7183
161,18.7017
162,29.1112
163,17.0437
164,25.2758
165,28.0041
166,26.5171
167,27.3445
168,22.2773
169,30.6728
170,16.4789
171,20.1187
172,21.8004
173,51.7835
174,27.5217
175,14.4517
176,24.1639
177,24.6824
178,17.0661
179,31.3643
180,29.1835
181,27.5316
182,24.6009
183,26.6771
184,27.7783
185,32.0491
186,28.4559
187,21.6913
188,27.7242
189,24.9842
190,19.3302
191,34.2494
192,55.6045
193,16.7815
194,14.3621
195,29.9676
196,3.1208
197,23.298
198,35.4747
199,23.6958
200,33.6923
201,14.0868
202,8.7782
203,34.8976
204,32.5001
205,15.1259
206,31.2232
207,17.7827
208,9.7467
209,36.0552
210,11.1157
211,29.5175
212,8.4211
213,13.8975
214,15.8466
215,17.0783
216,15.5887
217,24.1313
218,4.1262
219,22.5036
220,59.9908
221,14.2776
222,24.3141
223,29.3396
224,11.6324
225,13.6846
226,22.6431
227,8.3183
228,7.2638
229,20.2595
230,48.9375
231,31.0685
232,22.0911
233,26.2878
234,14.1821
235,15.0927
236,25.8497
237,34.4771
238,52.614
239,13.0802
240,15.7185
241,6.3807
242,23.243
243,24.2241
244,36.3916
245,20.8351
246,10.7055
247,14.9109
248,30.4761
249,14.3885
250,15.8521
251,12.8871
252,21.1906
253,19.8764
254,22.9573
255,22.7062
256,8.7532
257,42.317
258,21.9506
259,25.3739
260,20.2804
261,29.3336
262,3.4133
263,14.4253
264,19.4478
265,27.5421
266,40.0065
267,22.9452
268,14.6028
269,23.5993
270,21.1218
271,22.1367
272,19.7339
273,16.4218
274,23.9752
275,25.0161
276,30.3228
277,17.2812
278,18.8665
279,16.992
280,25.9765
281,13.3877
282,22.1404
283,18.0833
284,27.1177
285,23.2044
286,13.9704
287,10.6781
288,13.1088
289,17.9412
290,24.627
291,22.0344
292,12.3326
293,58.126
294,28.0958
295,21.8269
296,25.6674
297,14.3558
298,22.9291
299,24.6133
300,25.0971
301,15.4664
302,14.4727
303,28.7852
304,13.1064
305,6.3422
306,26.7832
307,32.6058
308,27.553
309,9.4967
310,21.4778
311,14.525
312,20.3697
313,33.1752
314,20.1835
315,34.1949
316,35.6917
317,42.1713
318,12.5781
319,19.9602
320,39.9023
321,35.1745
322,18.0677
323,20.5093
324,62.2791
325,9.0254
326,21.495
327,27.1625
328,7.4533
329,12.1653
330,12.9253
331,32.0418
332,24.0075
333,28.7996
334,11.1282
335,13.2576
336,18.1526
337,19.5008
338,13.8091
339,8.7679
340,31.6854
341,34.1632
342,11.038
343,17.8688
344,19.3202
345,14.8856
346,29.814
347,22.4967
348,27.66
349,24.8304
350,15.1679
351,17.5869
352,21.5455
353,29.7283
354,25.7402
355,16.0526
356,18.6589
357,28.2066
358,24.0134
359,24.5869
360,26.0189
361,52.6616
362,22.7905
363,23.2943
364,15.9377
365,9.9687
366,22.4662
367,11.814
368,21.3097
369,20.8371
370,34.9655
371,19.7071
372,8.2895
373,15.4226
374,28.9072
375,7.9084
376,31.8293
377,27.175
378,60.8138
379,23.8065
380,29.7396
381,6.3589
382,35.4483
383,14.741
384,32.6608
385,22.3154
386,28.8767
387,23.8966
388,8.4676
389,9.7278
390,20.8561
391,33.0498
392,19.773
393,46.3128
394,17.7
395,14.1994
396,31.5108
397,32.2078
398,6.3636
399,61.5043
400,39.8008
401,19.7449
402,11.1169
403,28.4266
404,9.0454
405,26.1823
406,24.1301
407,36.0631
408,26.4113
409,64.0446
410,24.1008
411,30.0462
412,7.3256
413,7.5078
414,25.2051
415,38.0878
416,22.208
417,67.1685
418,14.7306
419,17.4148
420,36.405
421,9.9752
422,47.392
423,22.4785
424,41.7666
425,21.8875
426,80.8052
427,23.1378
428,15.2415
429,29.4133
